WellID,Time,Pressure,BottomHolePressure,Permeability,Porosity,ReservoirThickness,FlowRate,Viscosity,Density,OilProduction
Well_51,38,4743.820614914413,1822.1675345377093,323.73397438393226,23.83138479883569,35.11198680591218,120.713322043185,1.4262822175015824,823.6990955453899,615.9605597585426
Well_92,38,1658.9641534530876,1998.111224416816,520.9980502492417,19.53063159699989,37.67613261709197,2626.818319657463,1.5493822226766647,829.638797613836,1080.7847623359007
Well_14,53,1168.6016678517367,991.8060851265334,689.692681332419,14.369382410337327,48.18931885661191,3016.739176017977,3.7826628581600725,830.1673366341927,206.1412814943201
Well_71,29,2816.221290438197,1143.541140496994,176.3924158313366,26.068552203054498,43.24733017959515,4807.164914348272,4.63623656772641,710.4943043753145,213.84209516602968
Well_60,41,4204.839600974516,1116.7634137194705,280.8857477083678,29.968938701110456,41.99231317414524,3287.362101576324,4.5560480679702895,924.8362379822765,854.6187950674179
Well_20,36,4086.672425242983,1225.473736241753,655.5162373597155,27.482057681858997,36.15414006637863,2919.8214005842947,0.68602026085148,944.935791336877,1716.8055443835203
Well_82,26,4678.12251565133,2499.3126179126775,658.8065186312579,24.404799292157644,10.331898509657199,2751.8498330824395,1.4596971358816537,715.1539448834551,2708.194230732013
Well_86,31,3132.802657476161,2055.886605654852,498.36961998844913,23.68769930480942,41.41585514221166,606.1356693381815,3.426473436431737,776.7080480772952,256.04623355071
Well_74,44,1400.2586862661333,2449.9809305373938,797.6295032142993,21.25622107542137,47.089477663859576,2195.337399185094,3.1690430756373575,671.6603550985155,1660.4045215492577
Well_74,12,3354.755897344064,1886.2221190941143,487.2343529849258,26.340437420989428,22.58230174216092,758.3428932394469,1.8801395115467192,695.4169785276873,1277.5954432039437
Well_87,55,4113.582457412846,1312.5414032945687,882.5090427595959,17.327031195616648,19.114788127373394,358.21897792737917,4.341647952390329,734.3931265792522,2968.331045973431
Well_99,17,1373.3124810793056,1279.48836725395,738.544396563226,9.543237754949825,28.51167390440536,1714.3990415051346,0.8262381205689724,960.7957536384367,601.9640592838648
Well_23,15,1690.629604390359,1477.1622899500903,321.5479146703079,24.20124310673016,48.04050202111057,3262.6666266107195,3.2673530148090215,850.463864813858,1140.0697337835436
Well_2,9,1049.1626446226835,1333.7395667288747,401.30146839970996,27.987659354397135,7.287452337804767,4347.306941742907,1.5108054833185816,835.1795977928032,148.7024820242855
Well_21,39,3374.6103177872415,2156.6524921854916,671.0098189121472,13.533807298262488,36.89962883254181,4070.7927494961514,2.7304381858483096,978.7029822230918,2747.006369893206
Well_52,42,4546.937567783618,1430.0040260533856,895.5080926352564,24.57458244892839,41.66007499433145,1543.9802681110277,2.0599355381560853,916.5281886748265,1886.1409717592753
Well_1,48,3682.653264008398,1091.2287204216918,186.92164537647363,11.843067577060353,40.49371250255911,325.38342994752475,4.902728477252605,606.4202299688349,1784.1180031498009
Well_87,12,4928.160350363928,2049.720537393304,519.5169033545603,28.56500683396705,30.504848223664773,2073.1230620921306,2.5361229141180663,649.7338460011372,193.7550220598632
Well_29,32,1252.1346099990462,2208.8408187627892,127.59657711113296,22.086524800344666,46.42533487277199,1642.4185242538656,4.885248285389102,699.1014976802438,342.04886163492523
Well_37,25,4612.004340605985,1340.8579122809028,286.6606037669299,19.23189967955993,11.053569135360126,1919.1962201447739,1.4241004002097624,721.5682224842801,2381.3094458479677
